name,id,bin_center,bin_min,bin_max,bin_width,bin_magnitude,count,mass_raw,mass_raw_error,selection_function,selection_function_error,binary_correction,binary_correction_error,mass_corrected,mass_corrected_error,break_mass,break_mass_err,n_bins_before_break,n_bins_after_break,low_slope,high_slope,distance_16,distance_50,distance_84,cst,class_50,a_v_50,distance_50.1,kind,age_16,age,age_84,age_err_low,age_err_high
Alessi_21,80,0.2728275964396917,0.2426400733138313,0.3067708328738631,0.0641307595600317,20.086706589681185,7,109.15198959163142,41.255574223909626,0.1371875761052788,0.1743885364514563,124.65801844024308,43.028295121660506,920.2985034639546,1056.0314566776492,0.6330824865784316,0.0706726723039886,4,9,-0.2122653066932218,-2.430447472904836,560.197613491368,560.754739834811,561.312975425242,21.872083977386,0.99914026260376,0.153509646654129,560.754739834811,o,7.79,7.816,7.839,0.0259999999999998,0.023000000000000576
Melotte_22,4423,0.0971323045383177,0.0899999999999999,0.1048298287213834,0.0148298287213834,20.073389871547885,19,1281.20158074405,293.92780088252005,0.292365574325729,0.0863344753387935,1149.0355229409795,312.94684963491915,5531.225812269105,1668.2933110904585,0.3988663846062611,0.013494781829584,10,16,-0.2153257258711697,-2.6233388805805324,134.822899332226,134.841343079548,134.859791873762,99.0,0.995689570903778,0.102094501256943,134.841343079548,o,7.925,7.937,7.966,0.012000000000000455,0.028999999999999915
Stock_2,5361,0.2337114339124411,0.2206654188193819,0.2475287457076248,0.0268633268882428,20.65337255668865,58,2159.077326546052,283.50074201706843,0.0208272983713152,0.1846472628370926,1580.9657596277725,254.41396872993184,105246.70713680408,919163.6426734956,1.1672369524417776,0.142532294226222,14,10,-1.9189415284111329,-2.786787644245901,370.149796023002,370.24623324588,370.342720732525,99.0,0.987882196903229,0.899598777294159,370.24623324588,o,,8.6,,0.019999999999999574,0.019000000000000128
Stephenson_1,5359,0.1503687455581328,0.1322690044824482,0.1709452621133689,0.0386762576309206,19.76726315291988,9,232.70090105110705,77.56696701703567,0.5175571958692137,0.1578902255205555,245.2951075237655,82.43844817599714,694.9089915705257,219.25136126586568,0.3172116522857466,0.0313772871264237,3,13,0.5423625803446592,-2.290348730169391,354.501930359053,354.681300345957,354.86085193909,21.0861363687166,0.994969040155411,0.173754185438156,354.681300345957,o,7.323,7.435,7.488,0.11199999999999921,0.053000000000000824
IC_4665,4299,0.1466252380315728,0.1301633851825182,0.1651690327327383,0.03500564755022,20.205804817696723,5,142.83409535066758,63.87734934175588,0.1898958661978357,0.1667681766755533,201.90745577347457,77.26982423194919,954.0780965069667,745.2958086438617,0.3353503661948647,0.0265266996257489,4,12,0.4441223271653473,-2.233671654596848,343.106050586295,343.3451513748,343.584585640691,24.0540126393434,0.986871272325516,0.558919459581375,343.3451513748,o,7.55,7.581,7.636,0.031000000000000583,0.054999999999999716
OC_0470,5020,0.1224965773723432,0.1110982909720972,0.1350642870978738,0.0239659961257766,19.735572625253702,9,375.5320643784985,125.17735479283284,0.5580732568433385,0.1571822381087669,291.7327796421854,105.76421106608112,964.6409682600056,312.11819445779804,0.4891521484371308,0.0283876841911056,8,15,0.0137836112976397,-3.1375426958574173,388.97430025722304,389.179612667227,389.385141931903,23.6602319388767,0.977953165769577,0.26437708735466,389.179612667227,o,6.6422176361084,6.84557938575745,7.04034614562988,0.20336174964904963,0.1947667598724303
Alessi_5,70,0.1639012965665758,0.149016331480148,0.1802730932198758,0.0312567617397278,20.44655192704592,10,319.930774763844,101.17099418360657,0.0123252248070708,0.1633245093729999,275.1404662969058,93.41602962978102,26232.53919709362,344065.656907566,0.6297351161328313,0.0730692488056877,8,12,-1.4408716237359978,-2.844188216397794,391.63442059254095,391.824042305634,392.013847729912,22.0361203840045,0.995900630950928,0.402730762958527,391.824042305634,o,7.609,7.723,7.74,0.11399999999999988,0.017000000000000348
IC_2395,4290,0.1853859677567601,0.1716704799244924,0.200197244489716,0.0285267645652235,20.15096862139152,12,420.6575888605671,121.43338608265368,0.2234196575670007,0.1704017924187443,483.4423036158756,135.70413373241817,2366.2559890428943,1541.4218104187487,0.476100509101382,0.0267489987735384,7,22,-0.3411072385558237,-2.661680021180184,695.065886858264,695.69772827001,696.330719462854,99.0,0.978178024291992,0.305173248052597,695.69772827001,o,,7.31,,0.019999999999999574,0.019000000000000128
UPK_445,7094,0.24200437430973,0.2154074048634863,0.2718853477769719,0.0564779429134855,19.67073881298834,4,70.82410926558195,35.412054632790976,0.4910216512728694,0.1649183804439247,64.07273353608306,35.269093254003685,208.310994887666,93.76564027102586,0.5284899650417283,0.0516643851812133,4,9,0.4986545315447289,-2.917291123829574,660.199961175634,661.592913855251,662.991756931121,15.5818695943711,0.885538041591644,0.616775631904602,661.592913855251,o,,7.11,,0.019999999999999574,0.019000000000000128
NGC_2168,4511,0.4788121682429481,0.4535896035533553,0.5054372733887967,0.0518476698354414,19.658254216160103,15,289.3090479785935,74.69927498188102,0.064459231598165,0.1689627958440903,606.5846372617845,120.36786298443072,5094.833113168675,11822.304613328264,0.902339783794906,0.0686336839541813,6,15,-1.2119488191829395,-2.819871748382768,837.952598692384,838.533549268592,839.115305947018,99.0,0.999512195587158,0.592984944581986,838.533549268592,o,8.604,8.605,8.607000000000001,0.0010000000000012221,0.002000000000000668
