name,id,bin_center,bin_min,bin_max,bin_width,bin_magnitude,count,mass_raw,mass_raw_error,selection_function,selection_function_error,binary_correction,binary_correction_error,mass_corrected,mass_corrected_error,break_mass,break_mass_err,age_16,age,age_84,age_error
Blanco_1,281,0.827333854,0.762813713,0.897311223,0.134497511,13.16973849,28,208.1822915,39.34275506,0.916659526,0.073600009,27.66912599,14.16483747,254.7788495,48.73662325,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,0.973207403,0.897311223,1.055523017,0.158211794,12.22699717,32,202.2605218,35.75494663,0.928361748,0.076426487,20.63237912,10.29232866,238.5005993,43.71446768,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,1.144801032,1.055523017,1.241630341,0.186107324,11.31958488,20,107.4648736,24.02987626,0.917374613,0.07611689,13.16444702,7.218254164,130.3083837,28.85673943,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,1.346649645,1.241630341,1.460551668,0.218921327,10.44071989,11,50.2463609,15.14984783,0.894308901,0.085669478,5.481421189,5.43774383,61.66599102,18.58789489,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,1.584087727,1.460551668,1.718072686,0.257521018,9.635664803,5,19.41589095,8.683050403,0.819875542,0.105146322,2.662750759,3.218446807,26.3442609,11.47802293,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,1.863390331,1.718072686,2.020999201,0.302926515,8.911609079,3,9.903391918,5.71772599,0.887490787,0.093220715,1.721303833,2.601344121,12.88017113,7.04610589,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,2.191938909,2.020999201,2.377337003,0.356337802,8.323932587,4,11.22530357,5.612651783,0.888072972,0.092737617,1.142575541,1.952837266,13.78264446,6.745270256,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,2.578416397,2.377337003,2.796503444,0.419166441,7.772120863,2,4.771374338,3.37387115,0.885746431,0.094274057,0.408974943,0.943256572,5.795814979,3.965788888,0.451569261,0.032898552,7.943,7.975,7.998,
Blanco_1,281,3.033036681,2.796503444,3.289576321,0.493072877,7.166711078,2,4.056195529,2.868163365,0.883193911,0.095959733,0.130377713,0.497413712,4.723022067,3.323041832,0.451569261,0.032898552,7.943,7.975,7.998,
Platais_8,5197,0.125175312,0.103518171,0.151363366,0.047845195,18.34970673,9,188.106663,62.702221,0.842433011,0.090011061,74.76194817,40.26890375,298.0517061,87.92376965,0.267632615,0.059315674,,7.48,,
Platais_8,5197,0.183030249,0.151363366,0.221322193,0.069958827,17.39643857,10,142.9412192,45.20198243,0.860868762,0.091214114,61.19313595,30.09935828,227.2361214,63.0279341,0.267632615,0.059315674,,7.48,,
Platais_8,5197,0.267625233,0.221322193,0.323615379,0.102293186,16.53260902,21,205.2922664,44.79844526,0.872318982,0.091364834,38.06705169,19.99332268,273.4078738,60.37140293,0.267632615,0.059315674,,7.48,,
Platais_8,5197,0.39131928,0.323615379,0.473187583,0.149572204,15.63097499,17,113.6574815,27.56598832,0.872994442,0.090890713,15.52427483,10.47830958,145.7169497,35.92485824,0.267632615,0.059315674,,7.48,,
Platais_8,5197,0.572183636,0.473187583,0.691890754,0.218703171,14.51697797,8,36.57925925,12.93272113,0.896017272,0.09203429,6.323639442,5.383630615,47.1479186,15.96541984,0.267632615,0.059315674,,7.48,,
Platais_8,5197,0.836641919,0.691890754,1.011676622,0.319785868,12.08315593,7,21.8896477,8.273509158,0.878847633,0.097142344,3.280320063,3.183802539,28.18753593,10.3121431,0.267632615,0.059315674,,7.48,,
Platais_8,5197,1.223330513,1.011676622,1.479264729,0.467588106,9.920152749,5,10.69317191,4.782131856,0.834567777,0.118538291,1.484212261,1.903701764,14.2970385,6.306325011,0.267632615,0.059315674,,7.48,,
Platais_8,5197,1.7887432,1.479264729,2.162967977,0.683703248,8.039317763,5,7.313114298,3.27052414,0.83448444,0.118564596,0.626002584,0.990721605,9.389634295,4.229913764,0.267632615,0.059315674,,7.48,,
NGC_6178,4694,0.347160728,0.300515045,0.401046714,0.100531669,19.49506619,9,89.52402864,29.84134288,0.095012565,0.1626126,48.2246174,22.11330235,990.4581931,1643.068287,0.639479159,0.044822167,,7.22,,
NGC_6178,4694,0.463296835,0.401046714,0.535209366,0.134162652,18.79365947,10,74.5363918,23.57047667,0.357670683,0.108965239,44.52134162,19.04134972,252.915251,93.46691552,0.639479159,0.044822167,,7.22,,
NGC_6178,4694,0.618284097,0.535209366,0.714253616,0.17904425,18.07252025,36,201.0676136,33.51126893,0.543238839,0.074109859,36.15363956,14.30101934,406.2811034,80.99088133,0.639479159,0.044822167,,7.22,,
NGC_6178,4694,0.825119439,0.714253616,0.953193759,0.238940143,16.74600019,33,138.1099029,24.04184816,0.682294905,0.053468248,23.41564138,9.846482234,225.8353017,39.87738238,0.639479159,0.044822167,,7.22,,
