cluster_id,cst,class_50,kind,a_v_50,distance_50,cluster_name,normal,age_50,age_16,age_84,num_stars,normal_err,m_break,m_break_err,low_slope,low_slope_err,high_slope,high_slope_err,chi_squared,reduced_chi_squared,n_bins_before_break,n_bins_after_break,logAge,e_logAge_upper,e_logAge_lower
4593,23.91614591,0.999783456,o,0.245460287,1279.31851,NGC_2571,675.8405588327278,7.267592907,7.067738056,7.464402199,267,304.1347874869019,0.6608467983612298,0.117869796365102,0.6901329957304336,4.062112597109425,-2.7142927717551992,0.2433482671933899,6.86339637280788,0.6239451248007164,3,12,7.517,0.138,0.138
4680,32.32626965,0.998567224,o,0.38424173,759.8886663,NGC_6025,1261.1212975972965,8.059401512,7.852304459,8.303832054,555,163.80884664102032,0.662309186197416,0.038686701190643,1.032369694292448,1.3085327383247862,-2.6663332704015223,0.1643861968509771,4.528368724742796,0.3483360557494458,4,13,8.237,0.101,0.101
4566,99.0,0.997733831,o,0.159026921,468.2720692,NGC_2422,1377.757721833472,8.035879612,7.799871445,8.291846275,1129,503.7213504461056,0.6669920700037265,0.0982413534260415,-1.24170327530898,0.4140757205148973,-2.7949356677881707,0.1642109836195262,6.881432516726217,0.4047901480427186,7,14,8.19,0.097,0.097
4555,23.96866615,0.992882311,o,0.384137109,1228.405218,NGC_2362,535.4162746583336,6.842275381,6.635920525,6.967621803,239,138.4811833661962,0.6673090896633591,0.0756291314323064,1.91466513654322,1.7565404748942628,-2.370525371966715,0.2109502072102084,1.6633923566471185,0.1663392356647118,3,11,7.156,0.13,0.13
75,28.83247036,0.996789366,o,0.13698338,538.8503658,Alessi_12,521.9583047871176,8.086308479,7.83079195,8.374152184,425,129.77904628824268,0.6743866709207397,0.0902150555542582,-0.7004469651579122,0.5665535719939128,-2.8633971994713727,0.3304316685323158,3.4407548381278734,0.3127958943752612,6,9,8.195,0.127,0.127
4612,23.1725577,0.999504864,o,0.13230516,738.0277797,NGC_2925,495.0095064716024,8.128431797,7.884619236,8.359571457,273,248.5416537385484,0.6866908107669711,0.1353073850264223,-0.5946274384612363,1.5176365868569712,-2.8650048537813517,0.3171355523402291,1.0788190277689451,0.1198687808632161,4,9,8.366,0.126,0.126
4249,34.59260814,0.997724861,o,0.106013566,552.4922648,Haffner_13,482.6084027337291,7.165202618,6.86863327,7.354553699,726,235.0741414290436,0.6871749828910334,0.1459599652023387,-1.4698289853616102,0.3102104270029033,-2.747149204943032,0.2341367935851769,11.761213777400402,0.7840809184933601,7,12,7.63,0.05,0.05
4840,28.07773379,0.97499454,o,0.125884682,362.809082,NGC_7058,325.1262683109795,7.843420744,7.537169456,8.088750839,424,112.73559813947914,0.6889350516184768,0.1077399041809013,-1.2618484254929778,0.286518227462351,-3.349773704022049,0.4206064263536804,4.100977478447573,0.3728161344043249,7,8,8.318,0.168,0.168
4852,18.77865628,0.999188274,o,0.975865871,894.8808115,NGC_7160,280.6183893163468,6.95376873,6.777509212,7.114550591,151,92.74983875092856,0.6944471965140502,0.1164427500729115,0.4304645824568067,1.6883724584323423,-2.528641037618821,0.297962579226234,3.8850566903533386,0.4316729655948154,3,10,7.102,0.157,0.157
5524,26.53654593,0.996750683,o,0.091131404,464.5957929,Theia_172,203.0149034425189,8.08450985,7.785533428,8.345040321,322,61.59245007202687,0.6956071775185545,0.1179151128419903,-0.4647546872601849,0.6031468978034238,-3.1349263949231885,0.5699795552322547,4.61864780791831,0.7697746346530517,4,6,8.08450985,0.26053047100000093,0.29897642199999996
1347,99.0,0.99933812,o,0.621231377,703.597029,Collinder_394,1897.8459090761885,7.924185991,7.717750549,8.133447647,977,237.7763366366877,0.6981750216491052,0.0409427499730417,0.1654978334435554,0.7180071130948571,-2.7388138344878814,0.1378363140228475,13.46397593320516,0.7479986629558422,6,16,7.932,0.155,0.155
4535,99.0,0.99737978,o,0.215563387,508.9319909,NGC_2281,993.7570888922664,8.438003063,8.141255379,8.652873993,717,298.64555157210503,0.6997777899944226,0.0820316937150206,-1.119524527543485,0.5418209627054149,-3.1681273475352856,0.2387476816436091,9.722811942276994,0.7479086109443842,6,11,8.771,0.061,0.061
5813,23.93907983,0.969693542,o,0.146583691,1163.897818,Theia_2267,287.7062363187769,7.634633064,7.44472456,7.898973465,341,102.57966493935422,0.703011830919201,0.1225318842463031,-0.3732107983219327,1.8495381199533356,-2.6514469869576343,0.3044587465832039,8.205043364219016,0.911671484913224,3,10,7.634633064,0.2643404010000001,0.18990850399999992
4797,37.60357345,0.999377251,o,0.634507924,703.597029,NGC_6716,1761.8398637995526,7.902192116,7.705928326,8.130428314,930,525.4648253383508,0.7041090790949092,0.0811053006857772,-0.0218760514343992,1.299569570144674,-2.711300019109637,0.1265988647546438,9.519847508066626,0.5288804171148125,5,17,8.168,0.077,0.077
40,22.35109796,0.973008782,o,0.625296682,816.3805555,ASCC_79,330.1079407638624,6.739676952,6.5642066,6.857309341,214,132.8297808083233,0.7138971081255372,0.1086067248011071,0.5914856305395424,1.2328216179853564,-2.948879000682834,0.3625123769166385,4.926603841959898,0.4478730765418089,4,11,7.365,0.218,0.218
84,17.49827869,0.999645829,o,0.138949797,778.5871519,Alessi_33,265.06986035067115,7.195734024,6.976280212,7.398832798,194,92.15892398019436,0.7205114745229583,0.1436233747607294,-0.4361090532483316,0.8113656749228977,-2.6373163386078264,0.3907386966931244,5.685248136069769,0.9475413560116284,4,6,7.195734024,0.20309877399999987,0.21945381200000025
5312,99.0,0.991628677,o,0.811876595,1481.763285,Ruprecht_171,4662.378623099381,9.167845726,9.016511917,9.351223946,1086,3036.977341158268,0.7226809457303519,0.1437123992851912,0.5418179674650306,20.455396914857207,-3.314784091147456,0.2041940043244583,56.43885944233055,4.70323828686088,3,13,9.471,0.021,0.021
6044,36.31358421,0.998814881,o,0.78550905,661.9918926,Trumpler_3,911.333098630618,7.582304478,7.331243515,7.772525787,692,184.67100577006968,0.723973584826483,0.0643981170992887,-0.556850622961286,0.490678599365046,-3.0644289916626075,0.222982271144141,12.331030466807738,0.8220686977871825,6,13,7.628,0.089,0.089
